Speed,Heading,AgentCount,Acc,Label
1.1653,90.5639,28,0.0138,0
1.1652,87.975,34,-0.01,0
1.1652,89.1225,114,0.0004,0
1.1652,89.3386,111,0.003,0
1.1652,88.7868,108,0.004,0
1.1652,89.3654,80,0.0071,0
1.165,89.865,118,0.0101,0
1.1649,89.3685,84,-0.0063,0
1.1649,89.3402,88,0.0087,0
1.1648,88.9337,143,-0.0023,0
1.1648,89.153,112,0.0041,0
1.1648,88.9572,117,0.0067,0
1.1646,89.2905,91,0.0033,0
1.1645,90.2112,84,-0.0028,0
1.1645,89.0243,142,-0.0001,0
1.1644,88.7101,111,0.0038,0
1.1643,88.6218,85,0.0042,0
1.1643,88.6397,144,0.0116,0
1.1642,88.5737,100,-0.0104,0
1.1642,89.2032,144,-0.0014,0
1.1641,89.6672,81,-0.0016,0
1.164,89.0814,79,-0.0153,0
1.164,89.5639,86,-0.0027,0
1.164,89.0904,116,0.004,0
1.1639,88.8185,111,0.0165,0
1.1638,89.4893,109,0.0001,0
1.1637,89.5003,114,-0.0097,0
1.1637,88.3411,116,-0.008,0
1.1636,89.314,109,-0.0068,0
1.1636,89.5954,141,0.0036,0
1.1635,89.7894,135,0.0108,0
1.1634,89.945,111,0.0029,0
1.1634,88.949,114,0.0065,0
1.1633,89.2411,112,-0.0035,0
1.1633,89.4997,90,0.0056,0
1.1632,89.2561,83,0.0094,0
1.1631,89.3655,83,0.0024,0
1.1631,88.2449,144,0.0084,0
1.1631,88.6541,138,0.0147,0
1.163,89.8464,99,-0.0012,0
1.1629,88.9104,112,-0.0028,0
1.1629,89.1778,114,-0.0001,0
1.1629,89.3949,81,0.001,0
1.1628,88.8794,48,0.0247,0
1.1627,89.5246,111,-0.0082,0
1.1627,89.0414,115,0.0024,0
1.1626,89.5825,83,0.0111,0
1.1625,88.5424,84,0.0057,0
1.1624,89.6421,110,0.0045,0
1.1623,89.2825,92,-0.0038,0
1.1623,89.5386,111,0.0113,0
1.1621,89.6512,131,-0.003,0
1.1621,91.2279,45,-0.0006,0
1.1621,89.4636,131,0.0104,0
1.162,89.5574,94,0.0146,0
1.162,89.2735,96,0.0161,0
1.1617,89.0048,95,0.0065,0
1.1617,87.9593,24,0.0068,0
1.1614,89.3588,138,0.0057,0
1.1613,89.3435,113,0.0022,0
1.1613,88.3696,113,0.0154,0
1.1612,89.2934,113,-0.0099,0
1.1612,89.5842,118,-0.0015,0
1.161,88.839,113,0.0037,0
1.161,88.3286,117,0.0096,0
1.1609,89.2921,115,-0.0067,0
1.1608,90.1649,115,-0.0064,0
1.1608,89.3008,114,0.0011,0
1.1608,89.2065,132,0.0104,0
1.1607,89.4515,142,0.01,0
1.1606,90.1232,130,0.0103,0
1.1606,89.1931,132,0.0114,0
1.1605,89.8297,94,0.0128,0
1.1604,88.8019,133,0.0152,0
1.1604,88.8455,132,0.0181,0
1.1603,89.3912,146,-0.0033,0
1.1602,88.9891,117,-0.003,0
1.1602,89.0575,35,0.0019,0
1.16,89.7804,144,0.0176,0
1.1599,90.0069,140,0.0053,0
1.1599,89.0847,134,0.0059,0
1.1598,89.3424,115,0.0057,0
1.1598,89.5049,117,0.0106,0
1.1597,90.6507,84,-0.0011,0
1.1597,89.443,118,0.0043,0
1.1597,89.116,81,0.009,0
1.1596,88.9962,82,-0.0055,0
1.1596,88.6305,26,0.0074,0
1.1596,90.0947,111,0.0142,0
1.1595,89.039,42,-0.0055,0
1.1595,89.1986,135,0.0092,0
1.1595,88.9378,81,0.0098,0
1.1594,89.0425,105,0.0006,0
1.1594,89.5339,79,0.0099,0
1.1594,89.7802,118,0.0217,0
1.1593,88.04,48,-0.0058,0
