Timestamp,X,Y,Speed,Heading,AgentCount,Density,Acc,LevelOfCrowdness,Label,
0:31:46,0.3309,20.2512,0.6383,90.9659,258,2.58,0.0122,3,0,normal
0:31:47,0.3274,20.273,0.6315,91.3631,259,2.59,0.0047,3,0,normal
0:31:48,0.3135,20.2114,0.637,89.4951,258,2.58,0.0164,3,0,normal
0:31:49,0.3196,20.16,0.6387,90.4173,257,2.57,0.021,3,0,normal
0:31:50,0.3075,20.3499,0.6421,90.749,260,2.6,0.0078,3,0,normal
0:31:51,0.3105,20.3223,0.6558,90.0576,261,2.61,0.0266,3,0,normal
0:31:52,0.2958,20.3306,0.6521,89.0296,261,2.61,0.0082,3,0,normal
0:31:53,0.315,20.2452,0.6418,88.2934,259,2.59,0.0018,3,0,normal
0:31:54,0.2987,20.2077,0.6452,89.5796,258,2.58,0.0138,3,0,normal
0:31:55,0.3018,20.3284,0.65,89.568,261,2.61,0.0054,3,0,normal
0:31:56,0.2996,20.2305,0.6682,88.8045,260,2.6,0.0316,3,0,normal
0:31:57,0.3263,20.2458,0.6743,88.611,258,2.58,0.0168,3,0,normal
0:31:58,0.3092,20.2566,0.6646,89.6756,258,2.58,0.0068,3,0,normal
0:31:59,0.2876,20.1388,0.6497,89.8247,253,2.53,-0.0001,3,0,normal
0:32:00,0.287,20.1512,0.6727,88.729,257,2.57,0.0264,3,0,normal
0:32:01,0.2963,20.0089,0.6769,89.1482,255,2.55,0.0162,3,0,normal
0:32:02,0.2948,20.0937,0.6725,88.3911,255,2.55,0.0099,3,0,normal
0:32:03,0.3136,19.9148,0.6798,87.4242,254,2.54,0.0202,3,0,normal
0:32:04,0.3127,19.8524,0.6774,88.0984,256,2.56,0.0055,3,0,normal
0:32:05,0.3142,19.9091,0.6801,89.2759,257,2.57,0.0103,3,0,normal
0:32:06,0.2964,19.9193,0.6563,88.9464,257,2.57,-0.0125,3,0,normal
0:32:07,0.3102,20.1547,0.6603,88.3641,259,2.59,0.0101,3,0,normal
0:32:08,0.312,20.0861,0.6513,89.047,259,2.59,-0.2842,3,0,normal
0:32:09,0.3154,20.1625,0.65,88.818,259,2.59,-0.005,3,0,normal
0:32:10,0.2886,20.2139,0.6578,88.8217,262,2.62,0.0038,3,0,normal
0:32:11,0.2788,20.0749,0.6639,89.1735,260,2.6,0.0067,3,0,normal
0:32:12,0.2922,20.0172,0.6762,88.1511,258,2.58,0.0486,3,0,normal
0:32:13,0.2991,20.1162,0.6703,88.188,260,2.6,0.0043,3,0,normal
0:32:14,0.3178,20.1747,0.6688,89.0024,259,2.59,0.005,3,0,normal
0:32:15,0.3016,20.0381,0.6777,89.9523,257,2.57,0.0284,3,0,normal
0:32:16,0.2966,20.0197,0.6673,89.0664,258,2.58,0.0004,3,0,normal
0:32:17,0.3064,19.9051,0.6512,88.1872,257,2.57,-0.0019,3,0,normal
0:32:18,0.3169,20.0651,0.6448,88.7962,259,2.59,0.0055,3,0,normal
0:32:19,0.3097,20.1726,0.6278,89.6684,260,2.6,-0.0119,3,0,normal
0:32:20,0.3182,20.1783,0.6437,89.6919,262,2.62,0.0279,3,0,normal
0:32:21,0.3006,20.2548,0.6389,89.6071,262,2.62,0.0012,3,0,normal
0:32:22,0.3066,20.1243,0.6207,88.6083,261,2.61,-0.0026,3,0,normal
0:32:23,0.2952,20.1506,0.627,88.1241,266,2.66,0.01,3,0,normal
0:32:24,0.3102,20.0961,0.6231,88.4598,265,2.65,0.0115,3,0,normal
0:32:25,0.3278,20.0223,0.5942,89.6941,264,2.64,-0.0083,3,0,normal
